2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,2017-18 Rating by Percent,Rating in the most recent five years,Waterloo Adjustment,,
148/738,264/625,NO CHANGE,E.J.Lajeunesse,Windsor,7.4,74.00%,6.5,16.3,64.37%,69.18%
148/738,526/625,NO CHANGE,Gananoque,Gananoque,7.4,74.00%,4.5,16.3,64.37%,69.18%
148/738,n/a,NO CHANGE,Chinguacousy,Brampton,7.4,74.00%,n/a,16.3,64.37%,69.18%
148/738,n/a,NO CHANGE,Harold M. Brathwaite,Brampton,7.4,74.00%,n/a,16.3,64.37%,69.18%
148/738,n/a,NO CHANGE,Lo-Ellen Park,Sudbury,7.4,74.00%,n/a,16.3,64.37%,69.18%
615/738,478/625,DOWNTREND,Forest Heights,Kitchener,4.4,44.00%,5,13.3,81.61%,62.80%
164/738,29/625,NO CHANGE,Le Sommet,Hawkesbury,7.3,73.00%,8.4,16.3,64.37%,68.68%
164/738,57/625,NO CHANGE,Forest Hill,Toronto,7.3,73.00%,7.9,16.3,64.37%,68.68%
164/738,90/625,NO CHANGE,Christ the King,Georgetown,7.3,73.00%,7.6,16.3,64.37%,68.68%
164/738,100/625,NO CHANGE,Assumption,Burlington,7.3,73.00%,7.5,16.3,64.37%,68.68%
164/738,100/625,NO CHANGE,F J Brennan,Windsor,7.3,73.00%,7.5,16.3,64.37%,68.68%
164/738,114/625,NO CHANGE,Béatrice-Desloges,Orléans,7.3,73.00%,7.4,16.3,64.37%,68.68%
164/738,114/625,NO CHANGE,R H King,Toronto,7.3,73.00%,7.4,16.3,64.37%,68.68%
164/738,129/625,NO CHANGE,Dr. Frank J. Hayden,Burlington,7.3,73.00%,7.3,16.3,64.37%,68.68%
164/738,129/625,NO CHANGE,Father Michael McGivney,Markham,7.3,73.00%,7.3,16.3,64.37%,68.68%
164/738,129/625,NO CHANGE,Sacred Heart,Newmarket,7.3,73.00%,7.3,16.3,64.37%,68.68%
164/738,163/625,NO CHANGE,A N Myer,Niagara Falls,7.3,73.00%,7.1,16.3,64.37%,68.68%
164/738,163/625,NO CHANGE,Cardinal Newman,Stoney Creek,7.3,73.00%,7.1,16.3,64.37%,68.68%
164/738,184/625,NO CHANGE,Medway,Arva,7.3,73.00%,7,16.3,64.37%,68.68%
164/738,202/625,NO CHANGE,Maple,Maple,7.3,73.00%,6.9,16.3,64.37%,68.68%
164/738,202/625,NO CHANGE,St Joseph's,Windsor,7.3,73.00%,6.9,16.3,64.37%,68.68%
164/738,246/625,UPTREND,L'Escale,Rockland,7.3,73.00%,6.6,16.3,64.37%,68.68%
164/738,284/625,UPTREND,Sir Winston Churchill,Thunder Bay,7.3,73.00%,6.4,16.3,64.37%,68.68%
164/738,n/a,NO CHANGE,Sir Robert Borden,Nepean,7.3,73.00%,n/a,16.3,64.37%,68.68%
186/738,39/625,NO CHANGE,De La Salle,Ottawa,7.2,72.00%,8.1,16.3,64.37%,68.18%
186/738,100/625,NO CHANGE,Aldershot,Burlington,7.2,72.00%,7.5,16.3,64.37%,68.18%
186/738,114/625,NO CHANGE,Oakridge,London,7.2,72.00%,7.4,16.3,64.37%,68.18%
186/738,129/625,NO CHANGE,St Thomas Aquinas,London,7.2,72.00%,7.3,16.3,64.37%,68.18%
186/738,129/625,NO CHANGE,Westmount,Hamilton,7.2,72.00%,7.3,16.3,64.37%,68.18%
186/738,148/625,NO CHANGE,A B Lucas,London,7.2,72.00%,7.2,16.3,64.37%,68.18%
186/738,148/625,NO CHANGE,Craig Kielburger,Milton,7.2,72.00%,7.2,16.3,64.37%,68.18%
186/738,163/625,NO CHANGE,Sandwich,LaSalle,7.2,72.00%,7.1,16.3,64.37%,68.18%
186/738,163/625,NO CHANGE,St. Joan of Arc,Mississauga,7.2,72.00%,7.1,16.3,64.37%,68.18%
186/738,202/625,NO CHANGE,Cairine Wilson,Ottawa,7.2,72.00%,6.9,16.3,64.37%,68.18%
186/738,214/625,NO CHANGE,All Saints,Whitby,7.2,72.00%,6.8,16.3,64.37%,68.18%
186/738,229/625,UPTREND,Sir Frederick Banting,London,7.2,72.00%,6.7,16.3,64.37%,68.18%
186/738,246/625,NO CHANGE,Cameron Heights,Kitchener,7.2,72.00%,6.6,16.3,64.37%,68.18%
186/738,n/a,NO CHANGE,Cawthra Park,Mississauga,7.2,72.00%,n/a,16.3,64.37%,68.18%
186/738,n/a,NO CHANGE,Lockerby,Sudbury,7.2,72.00%,n/a,16.3,64.37%,68.18%
186/738,n/a,NO CHANGE,Sainte-Trinité,Oakville,7.2,72.00%,n/a,16.3,64.37%,68.18%
204/738,75/625,DOWNTREND,Bishop Allen,Toronto,7.1,71.00%,7.7,16.3,64.37%,67.68%
204/738,75/625,NO CHANGE,Stratford Central,Stratford,7.1,71.00%,7.7,16.3,64.37%,67.68%
204/738,100/625,NO CHANGE,Etobicoke,Toronto,7.1,71.00%,7.5,16.3,64.37%,67.68%
204/738,100/625,NO CHANGE,Holy Trinity,Simcoe,7.1,71.00%,7.5,16.3,64.37%,67.68%
204/738,100/625,NO CHANGE,Lester B Pearson,Burlington,7.1,71.00%,7.5,16.3,64.37%,67.68%
204/738,114/625,NO CHANGE,Philip Pocock,Mississauga,7.1,71.00%,7.4,16.3,64.37%,67.68%
204/738,114/625,DOWNTREND,St Elizabeth,Thornhill,7.1,71.00%,7.4,16.3,64.37%,67.68%
204/738,129/625,NO CHANGE,St Francis Xavier,Gloucester,7.1,71.00%,7.3,16.3,64.37%,67.68%
204/738,129/625,NO CHANGE,St Mary's,Brockville,7.1,71.00%,7.3,16.3,64.37%,67.68%
204/738,148/625,NO CHANGE,Belle River,Belle River,7.1,71.00%,7.2,16.3,64.37%,67.68%
204/738,184/625,NO CHANGE,Assumption,Windsor,7.1,71.00%,7,16.3,64.37%,67.68%
204/738,184/625,NO CHANGE,Emily Carr,Woodbridge,7.1,71.00%,7,16.3,64.37%,67.68%
204/738,184/625,NO CHANGE,Westdale,Hamilton,7.1,71.00%,7,16.3,64.37%,67.68%
204/738,202/625,NO CHANGE,Centre Wellington,Fergus,7.1,71.00%,6.9,16.3,64.37%,67.68%
204/738,214/625,NO CHANGE,Mother Teresa,London,7.1,71.00%,6.8,16.3,64.37%,67.68%
204/738,246/625,NO CHANGE,Monseigneur-de-Charbonnel,Toronto,7.1,71.00%,6.6,16.3,64.37%,67.68%
204/738,n/a,NO CHANGE,Applewood Heights,Mississauga,7.1,71.00%,n/a,16.3,64.37%,67.68%
204/738,n/a,NO CHANGE,J Clarke Richardson,Ajax,7.1,71.00%,n/a,16.3,64.37%,67.68%
204/738,n/a,NO CHANGE,R. S. McLaughlin,Oshawa,7.1,71.00%,n/a,16.3,64.37%,67.68%
204/738,n/a,NO CHANGE,Rick Hansen,Mississauga,7.1,71.00%,n/a,16.3,64.37%,67.68%
225/738,75/625,DOWNTREND,Corpus Christi,Burlington,7,70.00%,7.7,16.3,64.37%,67.18%
225/738,90/625,NO CHANGE,Langstaff,Richmond Hill,7,70.00%,7.6,16.3,64.37%,67.18%
225/738,90/625,DOWNTREND,Regiopolis/Notre-Dame,Kingston,7,70.00%,7.6,16.3,64.37%,67.18%
225/738,90/625,NO CHANGE,Resurrection,Kitchener,7,70.00%,7.6,16.3,64.37%,67.18%
225/738,114/625,DOWNTREND,St Peter,Orléans,7,70.00%,7.4,16.3,64.37%,67.18%
225/738,129/625,DOWNTREND,Iona,Mississauga,7,70.00%,7.3,16.3,64.37%,67.18%
225/738,129/625,NO CHANGE,St. Brother André,Markham,7,70.00%,7.3,16.3,64.37%,67.18%
225/738,148/625,DOWNTREND,Notre Dame,Burlington,7,70.00%,7.2,16.3,64.37%,67.18%
225/738,148/625,NO CHANGE,Victoria Park,Toronto,7,70.00%,7.2,16.3,64.37%,67.18%
225/738,184/625,NO CHANGE,St Ignatius,Thunder Bay,7,70.00%,7,16.3,64.37%,67.18%
225/738,202/625,NO CHANGE,Holy Cross,St Catharines,7,70.00%,6.9,16.3,64.37%,67.18%
225/738,214/625,UPTREND,Arnprior,Arnprior,7,70.00%,6.8,16.3,64.37%,67.18%
225/738,214/625,NO CHANGE,Woodbridge,Woodbridge,7,70.00%,6.8,16.3,64.37%,67.18%
225/738,264/625,NO CHANGE,Burlington Central,Burlington,7,70.00%,6.5,16.3,64.37%,67.18%
225/738,284/625,NO CHANGE,Westside,Orangeville,7,70.00%,6.4,16.3,64.37%,67.18%
